day_of_week,hour_of_day,loans
1,7,11
1,8,22
1,9,241
1,10,917
1,11,1057
1,12,767
1,13,604
1,14,872
1,15,947
1,16,640
1,17,227
1,18,235
1,19,55
1,20,8
1,21,4
1,23,1
2,6,4
2,7,7
2,8,23
2,9,290
2,10,1020
2,11,1152
2,12,803
2,13,596
2,14,825
2,15,870
2,16,786
2,17,229
2,18,233
2,19,94
2,20,8
2,21,2
3,7,6
3,8,24
3,9,240
3,10,747
3,11,855
3,12,623
3,13,486
3,14,641
3,15,678
3,16,588
3,17,183
3,18,214
3,19,74
3,20,5
3,21,1
3,23,1
4,6,1
4,7,4
4,8,36
4,9,374
4,10,1011
4,11,1133
4,12,867
4,13,660
4,14,847
4,15,915
4,16,781
4,17,256
4,18,236
4,19,83
4,20,6
4,21,5
5,0,1
5,7,4
5,8,21
5,9,350
5,10,1001
5,11,1120
5,12,815
5,13,643
5,14,864
5,15,921
5,16,798
5,17,228
5,18,200
5,19,69
5,20,12
5,21,5
6,7,1
6,8,14
6,9,456
6,10,1404
6,11,1776
6,12,1173
6,13,750
6,14,937
6,15,1047
6,16,629
6,17,35
6,18,25
6,19,5
7,8,10
7,9,18
7,10,193
7,11,320
7,12,263
7,13,447
7,14,687
7,15,614
7,16,343
7,17,14
7,18,9
7,19,4
